5.752944 30.852014 40.659818
5.399460 29.887917 41.279227
6.732913 31.038053 39.994124
6.496890 31.377153 41.901741
5.516920 31.191114 42.567436
6.850374 32.341250 41.282333
7.240836 31.902292 43.143665
6.887352 30.938195 43.763073
8.220806 32.088331 42.477970
7.984782 32.427431 44.385588
7.004812 32.241392 45.051282
8.338266 33.391527 43.766179
8.728728 32.952570 45.627511
8.375244 31.988473 46.246920
9.708698 33.138609 44.961817
9.472674 33.477709 46.869434
8.492705 33.291669 47.535129
9.826158 34.441805 46.250026
10.216620 34.002847 48.111358
9.863136 33.038751 48.730766
11.196590 34.188887 47.445663
10.960567 34.527986 49.353281
9.980597 34.341947 50.018975
11.314051 35.492083 48.733872
6.363756 32.991572 43.208465
5.191205 32.903110 43.948261
4.356233 32.923860 43.100445
5.399690 33.660418 44.842363
5.021031 31.569756 44.614000
4.903874 30.510831 43.544723
4.793387 29.360800 44.097191
3.919604 30.792278 42.775308
6.016739 30.415970 42.918198
6.063271 31.329229 45.480188
5.830448 30.073681 46.150555
5.747260 29.160762 45.247196
6.790717 29.897320 46.989114
4.532600 30.140831 46.899608
3.572332 30.317191 46.061049
4.615788 31.053750 47.802967
4.241572 28.571395 47.737567
4.163062 27.539750 46.732806
5.322458 28.358149 48.668271
2.942242 28.769109 48.432299
2.766144 27.958012 48.880754
5.332828 20.322492 14.653384
5.261567 21.087857 13.732929
6.203951 19.563118 14.973687
4.691648 19.221879 13.787856
3.820524 19.981253 13.467553
4.762909 18.456514 14.708311
4.050469 18.121265 12.922328
3.979208 18.886631 12.001872
4.921593 17.361891 13.242630
3.409289 17.020652 12.056800
2.538166 17.780026 11.736497
3.480550 16.255287 12.977255
2.768110 15.920039 11.191271
2.696849 16.685404 10.270816
3.639234 15.160664 11.511574
2.126931 14.819425 10.325743
1.255807 15.578800 10.005440
2.198191 14.054060 11.246198
1.485751 13.718812 9.460215
1.414490 14.484177 8.539759
2.356875 12.959438 9.780517
0.844572 12.618199 8.594686
-0.026552 13.377573 8.274384
0.915833 11.852833 9.515142
2.930661 18.112878 13.762542
1.852013 18.947991 13.499663
1.901739 19.716854 14.406733
1.002423 18.173137 13.192745
2.053145 19.792689 12.276539
3.225964 20.712277 12.515817
3.433568 21.416491 11.466540
3.002424 21.422168 13.557971
4.298141 20.017648 12.604850
2.226724 18.997035 11.166942
2.347870 19.841134 10.003834
3.357432 20.617186 10.190720
2.458116 19.073469 8.976733
1.109249 20.675049 9.860985
0.999004 21.442714 10.888086
0.099687 19.898996 9.674098
1.260683 21.730172 8.407100
2.400193 22.592586 8.601415
1.400953 20.877344 7.252540
-0.014696 22.493545 8.381182
0.039407 23.056078 7.625782
37.091524 37.769572 10.725894
36.210879 38.176210 10.020763
37.556447 36.670235 10.841668
36.062832 37.450443 11.826599
35.597909 38.549781 11.710826
36.943477 37.043805 12.531731
35.034141 37.131315 12.927304
34.153496 37.537953 12.222172
35.499064 36.031977 13.043077
34.005449 36.812186 14.028008
33.540526 37.911523 13.912235
34.886094 36.405548 14.733140
32.976758 36.493057 15.128713
32.096113 36.899695 14.423581
33.441681 35.393719 15.244486
31.948066 36.173928 16.229417
31.483143 37.273266 16.113644
32.828711 35.767290 16.934549
30.919375 35.854800 17.330122
30.038730 36.261438 16.624990
31.384298 34.755462 17.445895
29.890683 35.535671 18.430826
29.425760 36.635008 18.315053
30.771328 35.129033 19.135958
35.616151 38.101094 13.752405
35.166476 39.414961 13.713082
36.095757 39.985115 13.235838
34.652917 39.537506 14.779684
34.051648 39.620509 12.730785
34.574087 39.331599 11.344427
33.624277 39.468254 10.496378
35.574645 40.092985 11.101170
34.858743 38.086625 11.249502
32.970931 38.834256 13.059811
31.897675 39.109073 12.136450
32.328090 38.847988 10.951976
30.885250 38.400379 12.495821
31.531144 40.561480 12.214998
32.543569 41.270175 11.855626
31.100729 40.822565 13.399471
30.189574 40.905003 11.060797
30.658575 40.599515 9.731618
29.055419 40.102171 11.447002
29.926339 42.357598 11.235937
29.224692 42.563900 10.640008
18.043054 45.392798 6.936423
18.502551 45.592615 5.846912
18.093538 46.048767 7.939048
19.335845 44.664186 7.348025
19.285362 44.008218 6.345400
18.876348 44.464369 8.437536
20.628637 43.935575 7.759626
21.088134 44.135393 6.670115
20.679120 44.591544 8.762251
21.921428 43.206964 8.171228
21.870945 42.550995 7.168603
21.461931 43.007146 9.260739
23.214220 42.478352 8.582829
23.673717 42.678170 7.493318
23.264703 43.134321 9.585454
24.507011 41.749741 8.994431
24.456528 41.093772 7.991806
24.047514 41.549923 10.083942
25.799802 41.021129 9.406032
26.259300 41.220947 8.316521
25.850286 41.677098 10.408657
27.092594 40.292518 9.817634
27.042110 39.636549 8.815009
26.633097 40.092700 10.907145
19.914664 42.737474 7.881268
19.782823 41.887331 6.790454
18.621199 41.970412 6.545242
20.434465 40.948463 7.122553
20.466950 42.406446 5.560621
19.800407 43.696675 5.149002
20.396012 44.172060 4.119797
18.552948 43.485170 4.951237
20.020771 44.590548 6.039188
21.815147 42.561176 5.790458
