Step Avg_Vx Avg_Vy Avg_Vz
420000 -0.0096612377525764608216 6.550982001870039924e-06 1.0100586881601200761e-06
425000 -0.0096641073892921505045 8.4272364743032694885e-07 5.9023998581937898428e-06
430000 -0.0096613022409407500746 -2.079623184176939881e-06 7.305897295848320267e-06
435000 -0.0096583318078087895125 -3.0033969719078799142e-07 -1.258602054477369922e-06
440000 -0.0096622387177960501053 1.2477469330313400382e-06 -6.68277042445127974e-06
445000 -0.0096572280589215294538 3.6066856729449701077e-06 -5.2078281669653899515e-06
450000 -0.0096564518831261103582 7.2284743374250103129e-07 -3.961933435417500397e-06
455000 -0.0096619536677311403799 4.0835439471358804108e-06 2.778609582536640043e-06
460000 -0.0096614698862319391831 -3.1742581246776602068e-06 4.5925414123250601714e-07
465000 -0.0096586139255689408556 8.1874397183561000966e-07 1.4099257012294800678e-06
470000 -0.0096655605315773291536 1.3403949282602700732e-06 3.6869063423881000572e-07
475000 -0.0096586945823066306521 -4.5272137190872400949e-06 3.3708959779593401e-06
480000 -0.0096617404863650908214 2.5231365900783801855e-06 -9.1667824780413900738e-07
485000 -0.0096591180586927498364 5.2892991708857699563e-06 -3.8466187211029502729e-06
490000 -0.0096615910469402491861 -5.0397002218625896184e-06 5.5488701663004797726e-06
495000 -0.0096600349944586400702 -8.3525635490566799444e-07 -1.6573145074668000684e-06
500000 -0.0096641361607187597355 2.0203846683559698667e-06 -6.8050247782081703697e-07
505000 -0.0096606022365760997606 5.5515461807101900473e-06 6.9498620131905702367e-07
510000 -0.0096541764153546000965 2.1288686233112700615e-06 2.623459455721179994e-07
515000 -0.0096653677832361107464 -1.3994027863707899883e-06 3.0276471729575398776e-06
520000 -0.0096588253211681504573 -2.378228077323160057e-07 1.961929111973739809e-06
525000 -0.0096703968489758804217 -3.7584339441957499285e-06 -1.3262955490660799637e-06
530000 -0.0096596369998747794172 3.7003947012410401822e-07 -4.9954695793501902528e-06
535000 -0.0096649906256770206497 -2.4668704321488697911e-07 2.56175191223077013e-06
540000 -0.0096633011851841605494 7.445515063414450065e-06 -1.2504978468889599688e-06
545000 -0.0096629707962831608292 -2.6478052968792198023e-06 9.5812209360508096778e-06
550000 -0.0096643556996911291618 3.3144257277030401237e-06 2.0773760209043199554e-06
555000 -0.0096639520869488803462 6.0350706564157497104e-07 8.9033992815548101777e-07
560000 -0.0096587158984147297724 1.3196349376626999769e-06 -2.5485593815657900335e-06
565000 -0.0096650474319621704211 2.9047264978274501704e-06 4.8683704502342296058e-07
570000 -0.0096593587815665699764 3.4588368365108498371e-06 -3.4283860033965099029e-06
575000 -0.0096635612792154400308 -4.5819127758594698125e-07 -1.0219227065988200044e-06
580000 -0.0096646817331926693911 -1.9944320259466401436e-06 -2.1807809325395801206e-06
585000 -0.0096656697647191994194 2.6393924280492801041e-06 1.1853909679528500894e-06
590000 -0.009655986970549460327 -5.7861758937667497676e-06 8.1665288867847104208e-06
595000 -0.0096590969377676593605 -7.1899216493342896488e-06 1.2998972019851800812e-08
600000 -0.0096610541462716897215 -4.4416737956497997274e-06 -3.0402392874341101287e-07
605000 -0.0096636470940958205805 2.9411143632337698714e-06 2.0226335215928399093e-06
610000 -0.0096582689842176997624 -2.1042080388805702078e-06 -7.4102025923188400233e-06
615000 -0.0096659390574356102155 3.5919367996901201439e-06 -8.9145725290324094266e-08
620000 -0.0096580375304547005227 3.0568173259690499055e-06 3.6492739051681000846e-06
625000 -0.0096622873285773305807 -2.6166243968565201919e-06 -4.3946781160669904167e-06
630000 -0.0096664689498374405802 -3.9115133838536403341e-06 -1.3340117342192799513e-06
635000 -0.0096598577075655400054 -9.8877565933468004833e-08 -1.9984147023526401141e-06
640000 -0.0096622214584837599893 7.3022045573660197255e-07 1.0830486598692199757e-06
645000 -0.0096552447016934796892 -8.8651452617252395733e-07 1.7361267513686199927e-06
650000 -0.0096660242336907599425 6.0525566460133398605e-06 1.8973258961512201025e-06
655000 -0.0096666909420240806211 9.2113353908406904252e-07 -3.6036857426965800538e-06
660000 -0.0096618068498807406497 5.887724311616720418e-07 1.3015263222900699606e-06
665000 -0.0096673700112514700244 5.2007131403899699942e-07 2.1894801055321599891e-06
670000 -0.0096626556161129497496 6.8822152037696498474e-07 -4.154045585710439603e-06
675000 -0.0096666045652711394404 8.9345849230798995802e-07 -4.8536619941608996195e-06
680000 -0.0096586226214875805368 6.035273317784190017e-06 5.2032099183635297957e-06
685000 -0.0096650015224298592431 3.441217027896259711e-08 -3.4283502822457601854e-06
690000 -0.0096680955304127898925 1.7110988893791499558e-07 1.5919341050325700082e-06
695000 -0.0096641875741453695664 5.4743950766612701288e-06 9.8695966365175705827e-07
700000 -0.0096573276213241902866 4.0253353414152498609e-06 7.7010000014567298481e-07
705000 -0.0096599433653146299372 9.8625086969871497294e-08 -1.5171627556753700233e-06
710000 -0.0096544284163117295022 3.8996216957409500471e-06 -9.455719425083119557e-07
715000 -0.0096592275740930901712 4.4812021027007501193e-06 1.0258725472049900615e-06
720000 -0.0096603597806004908033 9.5718334738230400715e-06 3.6430469529146500609e-06
725000 -0.0096625914726220594325 -7.2862471474413895441e-07 -2.4716329282946600954e-06
730000 -0.0096550437365027098197 6.0962925395870799279e-06 -2.9697835871391300286e-06
735000 -0.009659598656104400119 -1.1461193165480799764e-06 2.3928001853031301376e-06
740000 -0.0096603891485851096227 -1.0673232338166200499e-06 -2.7893195325484600157e-06
745000 -0.0096572300862994998188 -5.8023717561736095208e-07 -3.2911014237193798969e-06
750000 -0.0096618321653326004472 2.3860295646296501919e-06 5.0653827350246998786e-06
755000 -0.009661395855837830865 -2.4955580834197900399e-08 -1.9212017496531799443e-06
760000 -0.0096613887295467094224 -5.2454819673724799052e-08 2.731971937897070158e-06
765000 -0.0096607281507467002157 4.2748264569530700037e-06 3.4229257389217398342e-06
770000 -0.0096604142282662296831 -4.9791250245165999283e-06 4.762499167716320284e-06
775000 -0.0096585220420852494622 2.1611941440211500842e-06 5.0387842611352299922e-07
780000 -0.0096547380079732396385 6.3912377465189798635e-06 -3.1615015008677501772e-06
785000 -0.0096612868512768405177 -1.561863777126279934e-06 1.1766548731194200646e-07
790000 -0.0096644052270388903364 -3.6665585918356500968e-06 4.1242944547821799205e-06
